idCliente,idServidor,velocidad,distancia
269,276,600,4
270,276,900,9
271,276,600,9
272,276,900,3
273,276,300,5
274,276,300,2
275,276,300,8
277,289,900,2
278,289,900,3
279,289,600,7
280,289,600,6
281,289,600,1
282,289,300,6
283,289,600,5
284,289,600,1
285,289,300,6
286,289,300,2
287,289,900,7
288,289,600,1
290,291,600,9
292,296,300,5
293,296,600,10
294,296,300,10
295,296,600,3
3,17,1000,709
3,54,1000,86
3,108,3000,636
3,109,2000,638
3,126,3000,490
3,149,2000,254
3,156,1000,918
3,169,1000,911
3,177,2000,696
3,203,2000,59
3,216,1000,614
3,236,3000,541
3,291,1000,793
15,69,2000,357
15,71,2000,716
15,95,1000,340
15,97,3000,275
15,130,1000,6
15,142,3000,428
15,170,3000,599
15,187,3000,308
15,194,2000,611
15,195,2000,8
15,203,1000,1
15,220,3000,157
15,239,3000,972
15,247,1000,624
15,262,3000,742
15,276,2000,575
17,28,2000,902
17,39,2000,215
17,71,1000,733
17,97,3000,423
17,108,3000,454
17,114,3000,134
17,203,3000,297
17,236,2000,740
17,240,1000,154
17,264,2000,97
17,266,3000,212
17,291,1000,323
28,39,3000,209
28,54,3000,350
28,71,3000,461
28,97,3000,598
28,157,2000,265
28,195,2000,880
28,203,2000,786
28,247,1000,971
28,264,3000,440
28,276,1000,148
28,289,2000,723
28,291,1000,961
29,54,1000,975
29,71,2000,568
29,114,2000,881
29,126,3000,33
29,160,1000,653
29,167,1000,172
29,169,3000,172
29,170,1000,809
29,172,2000,252
29,220,1000,801
29,230,2000,506
29,236,1000,787
29,264,3000,626
29,276,2000,2
29,296,1000,261
39,69,1000,970
39,95,3000,306
39,108,2000,198
39,114,1000,638
39,126,1000,724
39,142,3000,533
39,156,3000,228
39,167,2000,809
39,187,3000,72
39,195,1000,332
39,236,1000,741
39,276,1000,595
42,97,3000,833
42,160,3000,258
42,167,2000,951
42,169,1000,342
42,170,1000,257
42,177,2000,276
42,187,1000,843
42,207,2000,363
42,220,2000,36
42,262,3000,421
54,95,1000,560
54,108,2000,246
54,147,2000,757
54,157,3000,583
54,167,1000,385
54,172,3000,441
54,177,2000,69
54,187,1000,569
54,236,3000,221
54,240,2000,469
54,247,1000,616
54,262,2000,67
69,97,3000,909
69,149,1000,536
69,220,3000,105
69,228,2000,570
69,230,1000,380
69,247,1000,661
69,262,1000,748
69,276,3000,588
69,289,3000,355
71,114,1000,496
71,127,3000,921
71,137,3000,762
71,157,1000,266
71,167,3000,137
71,171,1000,907
71,172,2000,344
71,187,2000,420
71,216,1000,599
71,228,1000,245
71,239,1000,900
71,247,1000,839
71,291,1000,867
95,97,3000,542
95,114,1000,337
95,137,1000,434
95,147,1000,94
95,156,3000,462
95,203,1000,852
95,236,1000,615
95,240,3000,634
95,262,2000,811
97,157,2000,167
97,167,2000,591
97,170,3000,749
97,179,3000,566
97,207,1000,661
97,230,2000,284
97,239,3000,707
97,296,2000,727
108,130,1000,927
108,135,3000,223
108,142,1000,481
108,149,2000,290
108,156,3000,260
108,171,1000,510
108,177,1000,884
108,187,1000,60
108,194,3000,348
108,207,3000,572
108,228,2000,622
108,239,3000,379
108,247,2000,915
108,289,3000,705
108,291,2000,464
109,126,1000,417
109,147,2000,45
109,149,1000,849
109,157,3000,571
109,170,3000,319
109,172,3000,845
109,177,2000,347
109,207,3000,82
109,220,3000,254
109,228,2000,239
109,240,3000,154
109,245,1000,48
109,265,1000,996
109,276,2000,293
109,289,2000,926
114,160,3000,297
114,172,2000,542
114,216,3000,124
114,220,1000,115
114,240,3000,850
114,266,2000,271
114,276,2000,573
126,156,3000,98
126,160,3000,434
126,170,3000,451
126,171,3000,609
126,228,1000,18
126,245,2000,719
126,296,3000,945
127,130,1000,686
127,142,2000,326
127,171,2000,651
127,216,3000,245
127,230,3000,708
130,142,2000,959
130,147,3000,506
130,156,2000,490
130,167,3000,747
130,171,2000,692
130,177,3000,379
130,179,1000,684
130,187,1000,231
130,194,3000,344
130,203,3000,398
130,220,2000,260
130,239,2000,24
130,264,2000,23
135,137,3000,103
135,142,2000,742
135,170,3000,183
135,171,3000,121
135,177,1000,360
135,179,2000,841
135,187,1000,801
135,220,3000,79
135,230,2000,82
135,247,3000,515
135,265,1000,602
135,276,2000,196
137,142,2000,16
137,147,3000,188
137,149,2000,924
137,172,2000,452
137,179,3000,81
137,228,3000,228
137,245,3000,999
137,247,1000,621
137,265,2000,240
137,266,3000,490
137,289,2000,328
142,167,1000,203
142,187,3000,846
142,216,2000,615
142,265,1000,551
147,160,2000,139
147,171,3000,217
147,195,1000,546
147,264,2000,379
147,291,1000,643
149,171,2000,701
149,203,1000,151
149,216,1000,359
149,228,1000,63
149,265,1000,686
149,289,2000,821
156,157,1000,636
156,160,3000,719
156,169,1000,762
156,170,3000,966
156,187,1000,324
156,195,1000,440
156,220,3000,646
156,228,1000,725
156,247,3000,381
156,262,3000,984
156,264,2000,52
157,179,3000,314
157,245,2000,945
157,262,1000,600
157,265,2000,36
157,266,2000,765
157,289,3000,495
160,169,2000,469
160,177,2000,283
160,179,1000,646
160,194,2000,404
160,220,3000,398
160,239,3000,792
160,245,2000,859
160,264,2000,322
160,265,2000,337
160,276,1000,461
160,296,1000,864
167,170,1000,799
167,187,1000,557
167,266,1000,223
169,171,2000,703
169,177,3000,634
169,195,1000,103
169,203,1000,650
169,207,2000,919
169,247,2000,895
169,276,2000,776
169,291,2000,615
170,177,1000,555
170,187,2000,728
170,194,2000,630
170,207,3000,433
170,247,2000,327
170,276,3000,709
170,289,1000,417
171,172,1000,165
171,177,1000,657
171,179,1000,773
171,187,1000,859
171,195,3000,523
171,203,1000,769
171,220,3000,295
171,239,1000,902
171,265,3000,349
171,276,3000,405
172,187,3000,498
172,194,3000,818
172,195,1000,582
172,203,1000,252
172,228,3000,396
172,240,1000,453
172,247,2000,562
172,262,2000,547
172,264,2000,700
172,276,3000,808
172,291,3000,498
177,179,2000,891
177,195,2000,844
177,207,3000,805
177,228,1000,200
177,240,1000,190
177,245,2000,622
177,247,1000,17
179,228,3000,951
179,236,3000,341
179,245,2000,316
179,247,3000,763
179,262,3000,312
179,276,2000,109
179,291,1000,677
179,296,1000,87
187,220,3000,41
187,240,1000,531
187,262,1000,399
187,265,1000,246
187,291,1000,411
187,296,1000,365
194,195,2000,41
194,230,1000,765
194,245,3000,401
194,264,1000,784
194,266,1000,975
195,207,3000,446
195,228,1000,17
195,236,1000,782
195,245,3000,151
195,247,2000,567
195,266,2000,944
203,230,3000,14
203,245,1000,90
203,264,2000,262
207,216,2000,464
207,230,3000,702
207,239,1000,945
207,245,2000,810
207,266,2000,694
207,276,3000,187
207,296,2000,481
216,236,1000,873
216,247,3000,822
216,276,1000,986
220,239,2000,612
220,247,1000,932
220,266,1000,548
220,296,3000,580
228,239,1000,190
228,245,1000,277
230,239,2000,285
230,240,3000,854
230,247,1000,605
230,265,2000,336
236,245,2000,581
236,247,1000,436
236,262,2000,761
236,264,1000,523
236,276,2000,953
236,289,2000,544
239,247,3000,880
239,264,2000,614
239,276,1000,552
240,264,1000,653
240,266,2000,554
240,289,2000,42
240,296,2000,528
245,262,3000,696
245,264,1000,231
247,266,1000,848
247,289,2000,859
247,296,2000,724
262,265,1000,775
262,276,1000,436
262,289,1000,873
264,265,3000,561
291,296,3000,143
